iter	RMSE
0	36.62709813
1	36.410127
2	36.22197161
3	36.00256538
4	35.81496185
5	35.74414491
6	35.55069198
7	35.4105632
8	35.31111687
9	35.23919041
10	35.11761136
11	34.99847027
12	34.92184862
13	34.84297119
14	34.70801144
15	34.64802721
16	34.49590767
17	34.41722371
18	34.34591679
19	34.29475988
20	34.20343129
21	34.0789283
22	33.97397107
23	33.90417198
24	33.8092201
25	33.7650647
26	33.72278442
27	33.67358051
28	33.59489368
29	33.52736458
30	33.47101785
31	33.36599908
32	33.28253942
33	33.23280121
34	33.14829312
35	33.06783425
36	33.00732211
37	32.92751692
38	32.87674618
39	32.82584538
40	32.77989968
41	32.72792327
42	32.69589628
43	32.66293856
44	32.59512042
45	32.55400664
46	32.5186972
47	32.47741488
48	32.42844643
49	32.35310138
50	32.32698342
51	32.28193117
52	32.23496713
53	32.16636077
54	32.1203201
55	32.05155336
56	32.00911477
57	31.93793043
58	31.86366491
59	31.83352368
60	31.76525791
61	31.73995022
62	31.66854193
63	31.60326629
64	31.57702341
65	31.54145087
66	31.48876549
67	31.44966153
68	31.39838304
69	31.35159258
70	31.29603696
71	31.25457262
72	31.2407748
73	31.21834728
74	31.19350325
75	31.1789149
76	31.15582499
77	31.10511273
78	31.08892298
79	31.02625606
80	31.00594839
81	30.96475583
82	30.94677635
83	30.92515776
84	30.90143929
85	30.8491042
86	30.83423194
87	30.81801293
88	30.78179271
89	30.74695436
90	30.70448612
91	30.69024026
92	30.67867014
93	30.62415548
94	30.57659837
95	30.55746391
96	30.53936726
97	30.4955115
98	30.47507579
99	30.46507882
100	30.4311817
101	30.37502846
102	30.35711233
103	30.34723184
104	30.29736606
105	30.25829414
106	30.21966834
107	30.20157147
108	30.19139037
109	30.16810677
110	30.14077539
111	30.10068411
112	30.0549406
113	30.04124553
114	30.02912979
115	30.00514432
116	29.98513396
117	29.96331182
118	29.93312798
119	29.88440792
120	29.87238083
121	29.85569334
122	29.83900454
123	29.83028879
124	29.819018
125	29.80848667
126	29.79796906
127	29.74779579
128	29.70646607
129	29.69574703
130	29.66640846
131	29.65669944
132	29.62117512
133	29.60242568
134	29.58398577
135	29.54115652
136	29.4988792
137	29.4627369
138	29.44297103
139	29.40185338
140	29.3931545
141	29.38291963
142	29.36077759
143	29.33279994
144	29.32192843
145	29.29337208
146	29.27904946
147	29.26349954
148	29.23489908
149	29.22878179
150	29.19941138
151	29.17658973
152	29.15638189
153	29.11645746
154	29.10277888
155	29.08876974
156	29.07831168
157	29.06838595
158	29.03666761
159	28.99947631
160	28.97964335
161	28.93654877
162	28.92383354
163	28.90873918
164	28.88687445
165	28.8666181
166	28.82221779
167	28.78896761
168	28.77714131
169	28.72751781
170	28.69523676
171	28.66929789
172	28.64230965
173	28.62691586
174	28.5875651
175	28.5566596
176	28.53629271
177	28.51561036
178	28.50330225
179	28.48103311
180	28.44090293
181	28.42860088
182	28.41511397
183	28.39911534
184	28.38472384
185	28.35504194
186	28.33359567
187	28.31428789
188	28.30231567
189	28.27154943
190	28.25871401
191	28.21995922
192	28.2084037
193	28.17542473
194	28.14646196
195	28.13408709
196	28.11490384
197	28.09710554
198	28.08588422
199	28.03445444
200	28.02324124
201	28.01232592
202	28.00080088
203	27.98308528
204	27.95307743
205	27.93934043
206	27.90794191
207	27.88467729
208	27.86521534
209	27.84893952
210	27.81160633
211	27.80101088
212	27.75962244
213	27.73701186
214	27.72607824
215	27.69852717
216	27.66401864
217	27.64782771
218	27.62113699
219	27.58475953
220	27.57432553
221	27.56287969
222	27.55274119
223	27.53519787
224	27.52521299
225	27.49122163
226	27.48101023
227	27.47132499
228	27.45432775
229	27.43114791
230	27.42154617
231	27.39700875
232	27.38756564
233	27.37816104
234	27.35898956
235	27.33244031
236	27.29898655
237	27.27399072
238	27.25919194
239	27.249923
240	27.24031866
241	27.20334769
242	27.18891805
243	27.16265634
244	27.12762119
245	27.11816549
246	27.09447065
247	27.07169919
248	27.04442702
249	27.03535734
250	27.00874942
251	26.98587428
252	26.97758191
253	26.9621935
254	26.95329896
255	26.9349436
256	26.92613789
257	26.89773762
258	26.88494566
259	26.87622637
260	26.8537052
261	26.83102708
262	26.82304041
263	26.81518282
264	26.79666018
265	26.78190281
266	26.77341833
267	26.75169813
268	26.73899881
269	26.71777717
270	26.70937259
271	26.7004178
272	26.69218571
273	26.68346056
274	26.66808788
275	26.63847775
276	26.6298868
277	26.6214459
278	26.61314812
279	26.58571508
280	26.57753077
281	26.56948807
282	26.56157116
283	26.54909064
284	26.5420255
285	26.51280351
286	26.49041699
287	26.4826631
288	26.47011208
289	26.46209482
290	26.43143502
291	26.41155874
292	26.39669073
293	26.37621444
294	26.3687164
295	26.36187581
296	26.34871804
297	26.33092645
298	26.32357322
299	26.31584291
300	26.29284204
301	26.27796573
302	26.26504174
303	26.25320949
304	26.23133032
305	26.22408172
306	26.21364219
307	26.20487075
308	26.19830589
309	26.18483022
310	26.15792398
311	26.15087523
312	26.13213331
313	26.1076708
314	26.10070903
315	26.08831172
316	26.07435919
317	26.06480513
318	26.03506359
319	26.02815642
320	26.00094351
321	25.98900831
322	25.98217304
323	25.97379513
324	25.96708507
325	25.9433957
326	25.93359217
327	25.91254767
328	25.89272553
329	25.88143207
330	25.87102173
331	25.86438342
332	25.83752192
333	25.82567587
334	25.80229302
335	25.77613331
336	25.75860376
337	25.74089032
338	25.70801887
339	25.70139924
340	25.67968462
341	25.66777821
342	25.64303325
343	25.62612614
344	25.61614469
345	25.60649245
346	25.58824735
347	25.58170922
348	25.55680067
349	25.5497314
350	25.54332946
351	25.53700021
352	25.51658022
353	25.50974326
354	25.50303002
355	25.49643215
356	25.48992824
357	25.47920513
358	25.4728126
359	25.46652701
360	25.44320405
361	25.43699667
362	25.42171036
363	25.39758995
364	25.38901696
365	25.36554001
366	25.35941977
367	25.34913541
368	25.33725736
369	25.32987804
370	25.31832928
371	25.31231039
372	25.29619534
373	25.27670524
374	25.25416063
375	25.23892088
376	25.21666776
377	25.19882714
378	25.18484089
379	25.17448571
380	25.16723637
381	25.15649515
382	25.15071116
383	25.14115137
384	25.11917588
385	25.11343722
386	25.10775481
387	25.09827473
388	25.07868744
389	25.06198978
390	25.05258756
391	25.02657488
392	25.00107441
393	24.98261481
394	24.97695049
395	24.96879215
396	24.95074584
397	24.94156635
398	24.92382348
399	24.91819554
400	24.91262275
401	24.89557696
402	24.87183554
403	24.86630749
404	24.85176569
405	24.83547591
406	24.82998976
407	24.81084651
408	24.79185249
409	24.77699609
410	24.7624246
411	24.75534546
412	24.74303284
413	24.72791696
414	24.72246479
415	24.71259375
416	24.70720415
417	24.68367275
418	24.67029807
419	24.65559311
420	24.6413202
421	24.62989416
422	24.62452872
423	24.61104414
424	24.60411066
425	24.59326663
426	24.58364631
427	24.57310325
428	24.56777221
429	24.54940389
430	24.53155227
431	24.51915414
432	24.50701308
433	24.50173128
434	24.4935004
435	24.48824806
436	24.47871185
437	24.47350691
438	24.45885993
439	24.44526817
440	24.4401143
441	24.42782954
442	24.41961161
443	24.4029463
444	24.3978138
445	24.38338424
446	24.37579836
447	24.36007511
448	24.35497883
449	24.35022118
450	24.34520737
451	24.32649195
452	24.32152698
453	24.29837143
454	24.28567914
455	24.27362787
456	24.26613268
457	24.26122283
458	24.2563341
459	24.25149131
460	24.2404204
461	24.22540284
462	24.21401578
463	24.20720185
464	24.19886194
465	24.19406865
466	24.17782354
467	24.17305058
468	24.1683261
469	24.15744671
470	24.14179954
471	24.13470494
472	24.11823723
473	24.10148067
474	24.09680026
475	24.08024707
476	24.05508749
477	24.04421874
478	24.03800653
479	24.03332416
480	24.02869282
481	24.01222622
482	24.00764285
483	24.00013563
484	23.99277572
485	23.98821708
486	23.96450539
487	23.95998746
488	23.95127138
489	23.94514305
490	23.92907964
491	23.91948988
492	23.91501247
493	23.91056972
494	23.89360491
495	23.88941635
496	23.88008202
497	23.86168561
498	23.85245084
499	23.84606145
500	23.83698721
501	23.82408779
502	23.81969381
503	23.8111708
504	23.80255467
505	23.79819451
506	23.7858949
507	23.78156691
508	23.77343658
509	23.7643286
510	23.75713955
511	23.75284812
512	23.74857526
513	23.72638143
514	23.71875581
515	23.71041042
516	23.69225518
517	23.68109492
518	23.67684703
519	23.66521118
520	23.66099592
521	23.64946216
522	23.64318603
523	23.63899615
524	23.62265726
525	23.61554758
526	23.59984822
527	23.59170528
528	23.58200946
529	23.57784253
530	23.56556612
531	23.56143024
532	23.54061676
533	23.53325626
534	23.51702126
535	23.50907141
536	23.49764718
537	23.49353393
538	23.48784179
539	23.47785146
540	23.4720745
541	23.46798222
542	23.46392754
543	23.45353014
544	23.44951515
545	23.44391349
546	23.43992317
547	23.43595857
548	23.42696411
549	23.41779547
550	23.41386206
551	23.40097651
552	23.39326013
553	23.37907469
554	23.37210814
555	23.36459362
556	23.3581421
557	23.34639038
558	23.34210017
559	23.3253529
560	23.31535666
561	23.31161009
562	23.30739083
563	23.30323683
564	23.29942241
565	23.2953552
566	23.29134175
567	23.28738782
568	23.2805499
569	23.27665974
570	23.2728171
571	23.2564749
572	23.25081632
573	23.24341714
574	23.23455677
575	23.23074774
576	23.22699869
577	23.22030161
578	23.20811092
579	23.19562526
580	23.17768594
581	23.17202805
582	23.16195821
583	23.14638855
584	23.13900555
585	23.13236333
586	23.12864517
587	23.12274332
588	23.10701499
589	23.08931501
590	23.08563906
591	23.07845123
592	23.06913313
593	23.06435676
594	23.05446106
595	23.04855921
596	23.03760953
597	23.03043408
598	23.02680955
599	23.02321181
600	23.01964463
601	23.01303771
602	22.99621064
603	22.98565896
604	22.98211047
605	22.97494177
606	22.96931923
607	22.95298808
608	22.94946454
609	22.93621739
610	22.92918916
611	22.9256873
612	22.91439948
613	22.90093841
614	22.89669473
615	22.88981306
616	22.88603573
617	22.88257662
618	22.87577822
619	22.85963136
620	22.84848515
621	22.84168636
622	22.82612138
623	22.82268409
624	22.81717769
625	22.80377775
626	22.80005118
627	22.78579688
628	22.77653534
629	22.77312951
630	22.768588
631	22.76195142
632	22.75075435
633	22.74738595
634	22.74202241
635	22.73556417
636	22.72239463
637	22.71741607
