iter	Passed	Remaining
417	2860	3982
418	2866	3975
419	2872	3967
420	2879	3960
421	2886	3953
422	2892	3945
423	2899	3938
424	2905	3930
425	2911	3923
426	2918	3916
427	2924	3908
428	2931	3901
429	2937	3894
430	2944	3886
431	2952	3881
432	2958	3874
433	2966	3868
434	2972	3861
435	2979	3854
436	2986	3848
437	2993	3840
438	3000	3834
439	3007	3827
440	3013	3820
441	3020	3812
442	3027	3806
443	3034	3800
444	3041	3792
445	3047	3785
446	3054	3778
447	3060	3771
448	3067	3764
449	3073	3757
450	3080	3749
451	3087	3743
452	3093	3735
453	3100	3729
454	3107	3721
455	3113	3714
456	3120	3707
457	3127	3700
458	3133	3693
459	3140	3686
460	3147	3680
461	3154	3673
462	3162	3667
463	3168	3660
464	3176	3654
465	3184	3648
466	3192	3643
467	3199	3636
468	3206	3630
469	3212	3622
470	3219	3615
471	3226	3608
472	3232	3601
473	3239	3594
474	3245	3587
475	3252	3580
476	3259	3573
477	3265	3566
478	3272	3559
479	3279	3552
480	3285	3545
481	3293	3539
482	3299	3531
483	3306	3524
484	3312	3517
485	3318	3510
486	3326	3503
487	3332	3496
488	3339	3489
489	3346	3482
490	3352	3475
491	3359	3468
492	3366	3461
493	3372	3454
494	3380	3448
495	3386	3441
496	3393	3434
497	3399	3427
498	3406	3420
499	3413	3413
500	3419	3406
501	3426	3399
502	3433	3392
503	3439	3385
504	3446	3378
505	3453	3371
506	3459	3363
507	3466	3356
508	3472	3349
509	3479	3342
510	3485	3335
511	3492	3329
512	3499	3321
513	3505	3314
514	3512	3308
515	3519	3300
516	3525	3294
517	3532	3286
518	3538	3279
519	3545	3272
520	3551	3265
521	3558	3258
522	3565	3251
523	3573	3245
524	3581	3240
525	3589	3234
526	3596	3228
527	3602	3220
528	3609	3213
529	3616	3206
530	3622	3199
531	3628	3192
532	3635	3185
533	3643	3179
534	3650	3173
535	3657	3166
536	3663	3159
537	3670	3151
538	3676	3144
539	3683	3137
540	3689	3130
541	3696	3123
542	3703	3116
543	3709	3109
544	3716	3102
545	3723	3095
546	3729	3088
547	3736	3081
548	3743	3075
549	3751	3069
550	3759	3063
551	3766	3056
552	3786	3060
553	3795	3055
554	3803	3049
555	3810	3043
556	3818	3036
557	3825	3030
558	3831	3023
559	3838	3016
560	3845	3009
561	3851	3002
562	3859	2995
563	3866	2988
564	3872	2981
565	3879	2974
566	3886	2967
567	3893	2961
568	3900	2954
569	3907	2947
570	3914	2940
571	3921	2933
572	3927	2926
573	3934	2920
574	3942	2913
575	3949	2907
576	3956	2900
577	3962	2893
578	3969	2886
579	3976	2879
580	3983	2872
581	3991	2866
582	3998	2860
583	4006	2853
584	4014	2847
585	4021	2841
586	4028	2834
587	4035	2827
588	4042	2821
589	4050	2814
590	4058	2808
591	4066	2802
592	4072	2795
593	4078	2787
594	4085	2780
595	4091	2773
596	4098	2766
597	4105	2759
598	4112	2752
599	4118	2745
600	4124	2738
601	4131	2731
602	4138	2724
603	4145	2717
604	4152	2711
605	4160	2704
606	4166	2697
607	4173	2690
608	4179	2683
609	4186	2676
610	4192	2669
611	4200	2662
612	4206	2655
613	4213	2648
614	4220	2642
615	4227	2635
616	4233	2628
617	4240	2621
618	4246	2614
619	4253	2607
620	4260	2600
621	4266	2592
622	4272	2585
623	4279	2578
624	4285	2571
625	4292	2564
626	4298	2557
627	4305	2550
628	4311	2543
629	4318	2536
630	4325	2529
631	4331	2522
632	4338	2515
633	4344	2507
634	4350	2500
635	4357	2494
636	4364	2487
637	4371	2480
638	4379	2474
639	4386	2467
640	4395	2461
641	4403	2455
642	4411	2449
643	4418	2442
644	4427	2436
645	4434	2430
646	4441	2423
647	4448	2416
648	4456	2410
649	4462	2402
650	4469	2396
651	4476	2389
652	4482	2382
653	4488	2374
654	4495	2367
655	4501	2360
656	4507	2353
657	4514	2346
658	4521	2339
659	4527	2332
660	4533	2325
661	4540	2318
662	4546	2310
663	4552	2303
664	4559	2296
665	4565	2289
666	4572	2282
667	4578	2275
668	4584	2268
669	4591	2261
670	4597	2254
671	4603	2247
672	4610	2240
673	4617	2233
674	4623	2226
675	4630	2219
676	4636	2212
677	4643	2205
678	4650	2198
679	4657	2191
680	4664	2184
681	4670	2177
682	4676	2170
683	4683	2163
684	4690	2156
685	4697	2149
686	4703	2142
687	4710	2136
688	4717	2129
689	4723	2122
690	4730	2115
691	4737	2108
692	4743	2101
693	4749	2094
694	4756	2087
695	4762	2080
696	4769	2073
697	4775	2066
698	4782	2059
699	4788	2052
700	4794	2045
701	4801	2038
702	4807	2031
703	4814	2024
704	4821	2017
705	4827	2010
706	4834	2003
707	4841	1996
708	4848	1989
709	4854	1982
710	4861	1975
711	4867	1968
712	4873	1961
713	4880	1954
714	4886	1947
715	4892	1940
716	4899	1933
717	4905	1926
718	4912	1919
719	4918	1912
720	4925	1905
721	4931	1898
722	4937	1891
723	4944	1884
724	4950	1877
725	4957	1871
726	4964	1864
727	4970	1857
728	4977	1850
729	4983	1843
730	4991	1836
731	4997	1829
732	5004	1822
733	5011	1816
734	5017	1809
735	5025	1802
736	5033	1796
737	5040	1789
738	5048	1782
739	5055	1776
740	5062	1769
741	5069	1762
742	5075	1755
743	5082	1748
744	5090	1742
745	5097	1735
746	5104	1728
747	5112	1722
748	5119	1715
749	5127	1709
750	5134	1702
751	5142	1695
752	5149	1689
753	5157	1682
754	5165	1676
