iter	MultiClass
348	0.4309400808
349	0.4305907439
350	0.4303579507
351	0.4300284544
352	0.4298237403
353	0.4294902047
354	0.4291580803
355	0.4289707996
356	0.4284601667
357	0.4278564372
358	0.427335282
359	0.4270139712
360	0.4266739408
361	0.4262476513
362	0.4257280725
363	0.4252910231
364	0.4250052888
365	0.4248451693
366	0.4246255319
367	0.4242555066
368	0.4241256574
369	0.4236111168
370	0.423192327
371	0.4227593076
372	0.4225787855
373	0.422344396
374	0.4221019002
375	0.4217797558
376	0.4214546613
377	0.4211555905
378	0.4206931369
379	0.4203462332
380	0.4198153793
381	0.4194160378
382	0.4192179295
383	0.4187857437
384	0.4184734554
385	0.4181023054
386	0.4178380248
387	0.4175304262
388	0.4172838987
389	0.4169970486
390	0.4165894826
391	0.416276851
392	0.4159073733
393	0.4156440137
394	0.4152366435
395	0.4149842027
396	0.4147564216
397	0.4144497756
398	0.4141564434
399	0.4137884646
400	0.4135589813
401	0.4131658297
402	0.4129904554
403	0.4126997297
404	0.4122878587
405	0.4119910015
406	0.4116833188
407	0.41127203
408	0.4107041799
409	0.4104505993
410	0.4102071706
411	0.4098205398
412	0.4095116222
413	0.4090548527
414	0.4085623438
415	0.4082347439
416	0.407981671
417	0.4078024641
418	0.4074449801
419	0.407217999
420	0.4068519355
421	0.4064705921
422	0.4061420307
423	0.405937599
424	0.4056644225
425	0.4055110196
426	0.405180793
427	0.404992512
428	0.4045672487
429	0.4042509543
430	0.4037416859
431	0.4035504551
432	0.4031520038
433	0.4029371962
434	0.4027311315
435	0.4021905869
436	0.4018328688
437	0.4016344362
438	0.4012471821
439	0.4006511041
440	0.4004388796
441	0.4001680262
442	0.3998779911
443	0.3995592754
444	0.3992078065
445	0.3989505948
446	0.3986755284
447	0.3982088544
448	0.3976794965
449	0.3971316043
450	0.3967316877
451	0.3964561112
452	0.3960187846
453	0.3956417212
454	0.3951085089
455	0.3946975419
456	0.3943768736
457	0.3938778884
458	0.3935173876
459	0.3930810756
460	0.3927291438
461	0.3924904035
462	0.3919956554
463	0.3917509107
464	0.391273437
465	0.3908147573
466	0.390467267
467	0.3901432544
468	0.3898683321
469	0.3896225105
470	0.3892969011
471	0.3890622482
472	0.3886017141
473	0.3883849335
474	0.3878944657
475	0.3875217806
476	0.3871207265
477	0.3866948404
478	0.3862442096
479	0.3856865308
480	0.3855467379
481	0.385324429
482	0.3851095609
483	0.3848608792
484	0.3845674033
485	0.3840464765
486	0.3836385989
487	0.3833038793
488	0.3828233324
489	0.3825931521
490	0.3822344154
491	0.3819083294
492	0.3817107593
493	0.3811712639
494	0.3809886408
495	0.3806019453
496	0.3802254922
497	0.379923037
498	0.3798132215
499	0.3794395183
500	0.3790791533
501	0.3787753947
502	0.3784499214
503	0.3780976341
504	0.3777113568
505	0.3773204825
506	0.3769744626
507	0.376779345
508	0.3763029616
509	0.3760734102
510	0.3757449163
511	0.3753137129
512	0.3750686688
513	0.3747472224
514	0.3743398525
515	0.37397054
516	0.3737644891
517	0.3732394
518	0.372880834
519	0.3725611544
520	0.3722853835
521	0.3721353815
522	0.371986905
523	0.3717352104
524	0.3713498383
525	0.3709128526
526	0.3705461369
527	0.3701781887
528	0.3700194622
529	0.3696947695
530	0.369389387
531	0.3690814793
532	0.3687894218
533	0.3684888964
534	0.368217778
535	0.3678269583
536	0.3675134371
537	0.3672863039
538	0.3669656576
539	0.3666434437
540	0.3659732631
541	0.3657228686
542	0.3655393728
543	0.3651092426
544	0.3648175367
545	0.364648687
546	0.3643666337
547	0.3641801362
548	0.363808411
549	0.3635239505
550	0.3632245475
551	0.3626779452
552	0.3623202771
553	0.3620907726
554	0.3618348414
555	0.3614164515
556	0.3611361619
557	0.3609382339
558	0.3606704976
559	0.3602856143
560	0.3599758106
561	0.3596262028
562	0.3594262917
563	0.3591697366
564	0.358960831
565	0.358774465
566	0.3584837152
567	0.358196378
568	0.3579103529
569	0.3577345535
570	0.3574389267
571	0.3570512624
572	0.3568400587
573	0.3563762433
574	0.3562414338
575	0.3557250214
576	0.3554381798
577	0.3552147522
578	0.3550282955
579	0.3547228528
580	0.3544898272
581	0.3543063811
582	0.35404596
583	0.353815313
584	0.3535416915
585	0.3532277684
586	0.3530723117
587	0.3526989996
588	0.3521971214
589	0.351882695
590	0.351673861
591	0.3514053558
592	0.3511468207
593	0.3508631653
594	0.3506887858
595	0.3504450397
596	0.3501143518
597	0.349671043
598	0.3493868795
599	0.3491689544
600	0.3488202732
601	0.3485793566
602	0.3483578116
603	0.3481275073
604	0.3479252133
605	0.3474823176
606	0.3471371874
607	0.3470137008
608	0.3468278731
609	0.3465074808
610	0.3462047096
611	0.3457538275
612	0.3454945447
613	0.3452580494
614	0.3449098325
615	0.3446326904
616	0.3442916249
617	0.3440337707
618	0.3436836054
619	0.3434270964
620	0.3432851445
621	0.3431419844
622	0.3429162655
623	0.3425240606
624	0.3422937336
625	0.3421999632
626	0.3419328615
627	0.3417604405
628	0.3414887738
629	0.3410728104
630	0.340910226
631	0.3406452495
632	0.3402958429
633	0.340005006
634	0.3398492754
635	0.3397461694
636	0.3394413406
637	0.3392360893
638	0.3388808925
639	0.3385123471
640	0.3383350717
641	0.3381158818
642	0.3378603646
643	0.3376442251
644	0.33747616
645	0.3373527484
646	0.3370441349
647	0.3369319877
648	0.3367329209
649	0.336441758
650	0.3361183049
651	0.3359333689
652	0.3356938314
653	0.3354203791
654	0.33516059
655	0.3350122034
656	0.3347632687
657	0.3344618359
658	0.3342063277
659	0.3339848181
660	0.3334607174
661	0.3331340045
662	0.3328568081
663	0.3326429404
664	0.3324911762
665	0.3323289123
666	0.3321294285
667	0.3316840489
668	0.3314102293
669	0.3311341148
670	0.331012355
671	0.3307264993
672	0.3304928927
673	0.330149115
674	0.3298546125
675	0.329655671
676	0.3294091786
677	0.3291993107
678	0.3289325784
679	0.3286817414
680	0.3285924759
681	0.3281239907
682	0.3278347171
683	0.3276073459
684	0.327251402
685	0.3269407647
686	0.3267914433
687	0.3264969188
688	0.3263067982
689	0.3259429789
690	0.3256707313
691	0.3254486709
692	0.325118412
693	0.3246742622
694	0.324567133
695	0.324287634
696	0.3240573346
697	0.3238972902
698	0.323474503
699	0.3232498862
700	0.3229568583
701	0.3226223117
702	0.322403882
703	0.3221152992
704	0.3217404805
705	0.3213318282
706	0.3210709726
707	0.3208088313
708	0.3205435982
709	0.3201853826
710	0.3199304041
711	0.3197127071
712	0.3195237832
713	0.3192986646
714	0.3190753346
715	0.3185124321
716	0.3182658137
717	0.3180515237
718	0.3177907336
719	0.317639583
720	0.3174754683
721	0.3173646927
722	0.3170754403
723	0.3168394145
724	0.3165091594
725	0.3162706615
726	0.3160330677
727	0.3156646602
728	0.3154666162
729	0.3152817205
730	0.3150796677
731	0.3147546199
732	0.3144742496
733	0.3143032679
734	0.314093422
735	0.3137813631
736	0.3135149008
737	0.3133506447
738	0.3131179154
739	0.3128098038
740	0.3124642151
741	0.3122046919
742	0.3120665818
743	0.3118329306
744	0.3115605932
745	0.3112037651
746	0.3110621059
747	0.3109954573
748	0.3108112206
749	0.3106314047
750	0.3104411124
751	0.3102618337
752	0.3100269414
753	0.3097251876
754	0.3094693963
755	0.3093203775
756	0.3091000781
757	0.3089152211
758	0.3087767009
759	0.3084707972
760	0.3082383964
761	0.3081406585
762	0.3079529894
763	0.3077926699
764	0.3075529307
765	0.3072814966
766	0.3070336721
767	0.306650159
768	0.3063378444
769	0.3062031644
770	0.3059154562
771	0.3057190619
772	0.3056102982
773	0.3053186237
774	0.3050255232
775	0.3049057537
776	0.3046162067
777	0.3042258968
778	0.3040993945
779	0.3038647109
780	0.3035889558
781	0.303366482
782	0.3030874393
783	0.3029266145
784	0.3027778338
785	0.3026742124
786	0.3024159
787	0.3021650334
788	0.3019044739
789	0.3016893087
790	0.30158941
791	0.3013336736
792	0.3010242434
793	0.3007188459
794	0.3004922226
795	0.3002949325
796	0.3000367485
797	0.2998561014
798	0.2997517748
799	0.2995757209
800	0.2992809487
801	0.2991100299
802	0.2989202711
803	0.2987632513
804	0.2986201786
805	0.2982513604
806	0.2980324028
807	0.297901276
808	0.2977509265
809	0.297538846
810	0.2973335096
811	0.2971470331
812	0.2968751227
813	0.2966038717
814	0.2964738918
815	0.2962408216
816	0.2958572691
817	0.2955138543
818	0.2953618806
819	0.2950154792
820	0.2948510185
821	0.2947395432
822	0.2945605818
823	0.2943940818
824	0.2940449342
825	0.2937838753
826	0.2936259312
827	0.2934792497
828	0.2933082848
829	0.293153764
830	0.2928939078
831	0.2926740019
832	0.2923260849
833	0.292096176
834	0.2919140794
835	0.2916857328
836	0.2915141757
837	0.2913674145
838	0.2912178035
839	0.2910144533
840	0.2908145497
841	0.2906736743
842	0.2903934186
843	0.2900193336
844	0.2897903254
845	0.2895792116
846	0.2894560749
847	0.2891803783
848	0.2890044854
849	0.2889064702
850	0.2886743222
851	0.2883619055
852	0.2880291945
853	0.2878412571
854	0.2875450593
855	0.2873355982
856	0.2872291473
857	0.287093755
858	0.2869524524
859	0.2866582605
860	0.2864421138
861	0.2862863765
862	0.2861102189
863	0.2858064309
864	0.285462773
865	0.2852422699
866	0.2851550722
867	0.2849790047
868	0.2847855435
869	0.2846773682
870	0.2845533504
871	0.2843047409
872	0.2840606835
873	0.2838789462
874	0.2836837033
875	0.2834131773
876	0.2831032631
877	0.2828860704
878	0.2827163036
879	0.2823599371
880	0.2821397989
881	0.2819788611
882	0.2818541212
883	0.281544932
884	0.2812857778
885	0.2810223254
886	0.280784477
887	0.2805148272
888	0.2802419428
889	0.2800951429
890	0.2799225062
891	0.2796779677
892	0.2795553189
893	0.2793222912
894	0.2792540074
895	0.2790713046
896	0.2787536022
897	0.2784053404
898	0.2781955119
899	0.2780312259
900	0.2777519162
901	0.2775316828
902	0.2773581744
903	0.2771856859
904	0.2770345438
905	0.2767451176
906	0.2765476337
907	0.276414858
908	0.2762794417
909	0.2759198228
910	0.2757236105
911	0.2755155691
912	0.275409471
913	0.275173183
914	0.275012967
915	0.2748570097
916	0.2747215215
917	0.2746187372
918	0.2744622385
919	0.2742436573
920	0.2741520294
921	0.2738260917
922	0.273583648
923	0.2735122415
924	0.2731035413
925	0.2728281392
926	0.2726317733
927	0.2724689793
928	0.2722113663
929	0.2720132056
930	0.2718232095
931	0.2715711191
932	0.2713464987
933	0.2711534201
934	0.2709905852
935	0.2708478752
936	0.2705265242
937	0.2703785994
938	0.2700767919
939	0.2698784492
940	0.2697581765
941	0.26959621
942	0.2694570239
943	0.2692510321
944	0.2690514885
945	0.2689410375
946	0.2687754441
947	0.2685446044
948	0.2683151768
949	0.2681151503
950	0.2678322738
951	0.2676287967
952	0.267549732
953	0.2674153331
954	0.2672146074
955	0.2669841546
956	0.2667624393
957	0.2664846648
958	0.2663086209
959	0.2661007374
960	0.2659697345
961	0.2657247455
962	0.2655038088
963	0.2652038367
964	0.2650425283
965	0.2649440928
966	0.2646843161
967	0.2644933958
968	0.2642532148
969	0.2641374358
970	0.2639744072
971	0.2637573515
972	0.2635497888
973	0.2633338659
974	0.2631465525
975	0.2630613959
976	0.2629307308
977	0.2627471821
978	0.2625670501
979	0.262372389
980	0.2621625266
981	0.2619447454
982	0.2617145498
983	0.2615840577
984	0.2612281457
985	0.2609954828
986	0.2608375345
987	0.2606934566
988	0.2604773993
989	0.260388886
990	0.2601544994
991	0.2599815427
992	0.2598071977
993	0.2596171775
994	0.2594159163
995	0.2592110224
996	0.2591198741
997	0.2589990663
998	0.2587908835
999	0.2586499127
